PERMNO,date,TICKER,COMNAM,RET,RETX
85414,5/9/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.013617,-0.013617
85414,5/10/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.007731,0.007731
85414,5/13/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.004932,0.004932
85414,5/14/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.006543,0.006543
85414,5/15/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.018418,0.018418
85414,5/16/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.009574,-0.009574
85414,5/17/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.002148,-0.002148
85414,5/20/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.001076,0.001076
85414,5/21/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.016129,-0.016129
85414,5/22/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.000546,-0.000546
85414,5/23/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.011482,0.011482
85414,5/24/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.017297,0.017297
85414,5/28/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.005845,0.005845
85414,5/29/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.019546,0.019546
85414,5/30/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.012435,0.012435
85414,5/31/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.003071,0.003071
85414,6/3/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.014796,0.014796
85414,6/4/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.000503,-0.000503
85414,6/5/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.01006,-0.01006
85414,6/6/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.001016,0.001016
85414,6/7/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.014721,-0.014721
85414,6/10/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.019578,0.019578
85414,6/11/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.004042,0.004042
85414,6/12/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.000503,0.000503
85414,6/13/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.009054,0.009054
85414,6/14/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.005484,0.005484
85414,6/17/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.015369,0.015369
85414,6/18/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.009766,-0.009766
85414,6/19/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.015779,0.015779
85414,6/20/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.002427,0.002427
85414,6/21/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.024213,0.024213
85414,6/24/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.061466,-0.061466
85414,6/25/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.037783,0.037783
85414,6/26/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.012136,-0.012136
85414,6/27/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.035872,-0.035872
85414,6/28/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.011213,-0.011213
85414,7/1/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.029381,-0.064433
85414,7/2/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.025344,0.025344
85414,7/3/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.024718,-0.024718
85414,7/5/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.021488,-0.021488
85414,7/8/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.030405,0.030405
85414,7/9/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.004372,-0.004372
85414,7/10/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.003842,-0.003842
85414,7/11/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.030303,-0.030303
85414,7/12/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.025568,-0.025568
85414,7/15/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0,0
85414,7/16/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.03207,0.03207
85414,7/17/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.014124,0.014124
85414,7/18/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.02507,-0.02507
