PERMNO,conm,tic
56247,AVATEX CORP,AVATQ
21258,TENET HEALTHCARE CORP,THC
21261,NATIONAL SEMICONDUCTOR CORP,NSM.2
21262,NATIONAL SERVICE INDS INC,NSI.1
21262,NATIONAL SERVICE INDS INC,NSI.1
21280,NEW YORK TIMES CO  -CL A,NYT
3178,NEWELL BRANDS INC,NWL
21286,NEWMONT CORP,NEM
21286,NEWMONT CORP,NEM
21288,NIAGARA MOHAWK HOLDINGS INC,NMK
21288,NIAGARA MOHAWK HOLDINGS INC,NMK
21293,NICOR INC,GAS.2
3194,NIKE INC  -CL B,NKE
3217,NORDSTROM INC,JWN
21294,NORFOLK SOUTHERN CORP,NSC
21247,NACCO INDUSTRIES  -CL A,NC
21300,XCEL ENERGY INC,XEL
21300,XCEL ENERGY INC,XEL
21301,NORTEL NETWORKS CORP,NRTLQ
21303,NORTHROP GRUMMAN CORP,NOC
21304,NORTON CO,NRT.3
21305,WELLS FARGO & CO,WFC
21308,NUCOR CORP,NUE
21316,NYNEX CORP,NYN
21322,OCCIDENTAL PETROLEUM CORP,OXY
21324,COVANTA ENERGY CORP,CVGYQ
21326,FIRSTENERGY CORP,FE
21326,FIRSTENERGY CORP,FE
21332,ONEOK INC,OKE
7525,OSHKOSH B'GOSH INC  -CL A,GOSHA
21345,OUTBOARD MARINE CORP,9975B
21345,OUTBOARD MARINE CORP,9975B
21345,OUTBOARD MARINE CORP,9975B
21347,OWENS CORNING,OC
21347,OWENS CORNING,OC
3685,PNC FINANCIAL SVCS GROUP INC,PNC
21351,PPG INDUSTRIES INC,PPG
21351,PPG INDUSTRIES INC,PPG
3487,PACCAR INC,PCAR
21356,PG&E CORP,PCG
21356,PG&E CORP,PCG
21355,SEMPRA ENERGY,SRE
21355,SEMPRA ENERGY,SRE
21357,PACIFIC TELESIS GROUP,PAC.2
21358,PACIFICORP,MEC2
21360,PALL CORP,PLL.1
21361,PAN AM CORP,3PNAA.
21361,PAN AM CORP,3PNAA.
21362,PANENERGY CORP,PEL.1
21362,PANENERGY CORP,PEL.1
21367,PARKER-HANNIFIN CORP,PH
21375,OLD COPPER CO INC,CPPRQ
21375,OLD COPPER CO INC,CPPRQ
21381,PENNZENERGY CO,PZE.1
21382,PEOPLES ENERGY CORP,PGL.1
21382,PEOPLES ENERGY CORP,PGL.1
21383,PEP BOYS-MANNY MOE & JACK,PBY.1
21384,PEPSICO INC,PEP
21384,PEPSICO INC,PEP
21387,APPLIED BIOSYSTEMS INC,ABI.3
21387,APPLIED BIOSYSTEMS INC,ABI.3
21394,PFIZER INC,PFE
21394,PFIZER INC,PFE
22806,PHELPS DODGE CORP,PD.1
22806,PHELPS DODGE CORP,PD.1
22806,PHELPS DODGE CORP,PD.1
21556,CITIGROUP GLOBAL MKTS HLDGS,C2
21556,CITIGROUP GLOBAL MKTS HLDGS,C2
21396,EXELON CORP,EXC
21396,EXELON CORP,EXC
21398,ALTRIA GROUP INC,MO
21398,ALTRIA GROUP INC,MO
21400,PHILIPS INDUSTRIES INC,PHL.1
21401,CONOCOPHILLIPS,COP
21401,CONOCOPHILLIPS,COP
21411,PITNEY BOWES INC,PBI
21411,PITNEY BOWES INC,PBI
21414,PITTSTON CO-CONSOLIDATED,PZSM.CM
21416,PLACER DOME INC,PDG
21426,PRIMARY PDC INC,PRDCQ
21431,POTLATCHDELTIC CORP,PCH
5322,PRICE CO,PCLB.1
21442,PRIME HOSPITALITY CORP,PDQ.2
21446,PROCTER & GAMBLE CO,PG
21446,PROCTER & GAMBLE CO,PG
3685,PROVIDENT NATIONAL CORP,PROV.
21353,PSI RESOURCES INC,CIN2
21353,PSI RESOURCES INC,CIN2
21458,PUBLIC SERVICE ENTRP GRP INC,PEG
21458,PUBLIC SERVICE ENTRP GRP INC,PEG
21349,PULTEGROUP INC,PHM
21470,QUAKER OATS CO,OAT.
21470,QUAKER OATS CO,OAT.
21485,RALSTON PURINA-CONSOLIDATED,RACM.CM
3782,RAYCHEM CORP,RYC.
21492,RAYTHEON CO,RTN
21492,RAYTHEON CO,RTN
7662,REEBOK INTERNATIONAL LTD,RBK
21512,REYNOLDS METALS CO,RLM.1
21512,REYNOLDS METALS CO,RLM.1
21515,RITE AID CORP,RADCQ
3876,CALIBER SYSTEMS INC,CBB.1
21524,ROCKWELL AUTOMATION,ROK
21524,ROCKWELL AUTOMATION,ROK
21527,ROHM AND HAAS CO,ROH
21527,ROHM AND HAAS CO,ROH
21529,SAFETY-KLEEN CORP,SKLNQ
21532,ROWAN COMPANIES LTD,RDC
21536,RUBBERMAID INC,RBD
21540,RUSSELL CORP,RML.1
21541,RYDER SYSTEM INC,R
3962,SAFECO CORP,SAF.3
3964,SAFETY-KLEEN CORP-OLD,SK.1
4278,ST JUDE MEDICAL INC,STJ
4293,ST PAUL COS,SPC.2
26047,SANTA FE SNYDER CORP,SFS.1
21565,SANTA FE PACIFIC CORP,SFX.2
21566,HILLSHIRE BRANDS CO,HSH
21566,HILLSHIRE BRANDS CO,HSH
21575,SCHERING-PLOUGH,SGP
21575,SCHERING-PLOUGH,SGP
21576,SCHLUMBERGER LTD,SLB
21576,SCHLUMBERGER LTD,SLB
21580,SCIENTIFIC-ATLANTA INC,SFA.1
21582,SCOTT PAPER CO,SPP.3
21582,SCOTT PAPER CO,SPP.3
21588,SEAGRAM CO LTD,VO.3
21588,SEAGRAM CO LTD,VO.3
21548,SPX CORP-OLD,SPW.2
21592,SEARS ROEBUCK & CO,S.1
21592,SEARS ROEBUCK & CO,S.1
4205,SECURITY PACIFIC CORP,7448B
21599,SERVICE CORP INTERNATIONAL,SCI
4150,SHARED MEDICAL SYSTEMS CORP,SMS.2
21609,SHERWIN-WILLIAMS CO,SHW
4098,SHONEY'S INC,3SHOY
21623,SKYLINE CORP,SKY.1
4162,SNAP-ON INC,SNA
21632,SONAT INC,SNT.1
21632,SONAT INC,SNT.1
21543,EDISON INTERNATIONAL,EIX
21543,EDISON INTERNATIONAL,EIX
21640,SOUTHERN CO,SO
21640,SOUTHERN CO,SO
21645,AT&T INC,T
26107,C & S SOVRAN CORP,CVN.3
4817,C & S SOVRAN CORP,CVN.3
21652,SPRINGS INDUSTRIES  -CL A,SMI.1
21653,SQUARE D CO,SQD.1
21653,SQUARE D CO,SQD.1
21664,STANLEY BLACK & DECKER INC,SWK
21676,STONE CONTAINER CORP,STO.3
21678,STRIDE RITE CORP,SRR
21686,SUNOCO INC,SUN.1
21686,SUNOCO INC,SUN.1
21691,SUNTRUST BANKS INC,STI.1
21692,SUPERVALU INC,SVU
21697,SYNTEX CORP,SYN.1
21698,SYSCO CORP,SYY
21705,TRW INC,TRW.1
21705,TRW INC,TRW.1
4491,TANDEM COMPUTERS INC,TDM.
21711,RS LEGACY CORP,RSHCQ
21711,RS LEGACY CORP,RSHCQ
21719,TEKTRONIX INC,TEK.1
4388,TELE-COMM TCI GROUP  -SER A,TCOMA
21722,ATI INC -NEW,ATI
21726,TEMPLE-INLAND INC,TIN
21729,TENNECO INC,TEN.2
21729,TENNECO INC,TEN.2
21734,TEXACO INC,TX.2
21734,TEXACO INC,TX.2
21737,TEXAS INSTRUMENTS INC,TXN
21737,TEXAS INSTRUMENTS INC,TXN
21740,ENERGY FUTURE HOLDINGS CORP,0033A
21740,ENERGY FUTURE HOLDINGS CORP,0033A
21743,TEXTRON INC,TXT
21743,TEXTRON INC,TXT
21745,THOMAS & BETTS CORP,TNB
21756,TIME WARNER INC-OLD,TWX.1
21757,TIMES MIRROR CO  -SER A,TMC.3
21758,TIMKEN CO,TKR
21758,TIMKEN CO,TKR
21762,TONKA CORP,TKA.
21764,GLOBE LIFE INC,GL
4522,TOYS R US INC,1231B
21769,TRANSAMERICA CORP,TA.1
21769,TRANSAMERICA CORP,TA.1
21778,TRAVELERS CORP,TIC.1
21782,TRIBUNE MEDIA CO,TRCO
21791,TYCO INTERNATIONAL PLC,TYC
21793,UNITED AIRLINES HOLDINGS INC,UAL
21793,UNITED AIRLINES HOLDINGS INC,UAL
21799,USF&G CORP,FG.2
21799,USF&G CORP,FG.2
21800,USG CORP,USG.1
21800,USG CORP,USG.1
21803,UNILEVER PLC,UL
21803,UNILEVER PLC,UL
21803,UNILEVER PLC,UL
21805,UNION CAMP CORP,UCC.2
21805,UNION CAMP CORP,UCC.2
21806,UNION CARBIDE CORP,DOW2
21806,UNION CARBIDE CORP,DOW2
21810,UNION PACIFIC CORP,UNP
